CETIP,Categoria,Tipo,Especie,DataReferencia,Status,Evento_Identificado,Classificacao,Peso,Resumo
25J4546988,Relatórios,Relatório de Agência de Rating,,11/28/2025,Cancelado,Manutenção de Rating de Agência de Risco,Neutro,0,Relatório de Agência de Rating: Moody's Local Brasil atribui rating AAA.br (sf) em 28/11/2025 para CRIs da 127ª Emissão da Companhia Província Securitizadora.
22G0159793,Fato Relevante,,,12/2/2025,Ativo,Não Identificado,Neutro,0,"Fato Relevante: Conversão de CRI em novas debêntures, com desconto de 2,30% para despesas, considerando saldo devedor de 24/06/2024. Valor total descontado: R$ 418.639.472, sendo R$ 153.912.701 da 1ª série e R$ 264.726.772 da 3ª série."
24C2617029,Aditamento de Termo de Securitização,,,11/27/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Quarto aditamento ao Termo de Securitização alterando cláusulas 2.6, 2.6.3, 8.1.(ii), 19.3.4 e Anexo II, consolidando o documento com novas redações e mantendo as demais disposições inalteradas."
22B0309134,Fato Relevante,,,12/1/2025,Ativo,Resgate/Recompra Antecipado Facultativo,Positivo,1,"Comunicado ao Mercado: Virgo anuncia resgate antecipado facultativo total dos CRI da 423ª série da 4ª emissão, com pagamento integral dos valores devidos em 03 de dezembro de 2025."
25K0012201,Aditamento de Termo de Securitização,,,11/27/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
CRA024005PL,Fato Relevante,,,12/2/2025,Ativo,Waiver de Não Pagamento de Juros/Amortização,Negativo,-1,Comunicado ao Mercado: Não pagamento da parcela de amortização e juros dos CRA em 26/11/2025 devido ao inadimplemento total da Devedora no pagamento dos Direitos Creditórios do Agronegócio.
CRA025009KJ,Aditamento de Termo de Securitização,,,12/2/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
CRA022001JL,Fato Relevante,,,12/1/2025,Ativo,Waiver de Não Pagamento de Juros/Amortização,Negativo,-1,"Comunicado ao Mercado: Não haverá pagamento da parcela de Remuneração dos CRA vencida em 28/11/2025 devido ao inadimplemento da Devedora na CPR-Financeira, com insuficiência de recursos no Patrimônio Separado."
CRA0220058X,Fato Relevante,,,12/1/2025,Ativo,Não Identificado,Neutro,0,"Comunicado ao Mercado: Assembleia aprova aporte de R$ 519.493,45 no Patrimônio Separado para cobrir despesas mensais e honorários de assessor legal, devido à insuficiência de recursos."
23F0011202,Fato Relevante,,,1/22/2026,Ativo,Resgate/Recompra Antecipado Obrigatório,Negativo,-1,"Comunicado ao Mercado: Resgate antecipado obrigatório dos CRI da 1ª e 2ª série da 157ª emissão em 23/01/2026, devido à suficiência de recursos para quitar o saldo devedor e custos em aberto."
CRA022008YD,Aditamento de Termo de Securitização,,,3/6/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Atualização do valor de avaliação dos imóveis em garantia e exclusão de imóveis liberados da alienação fiduciária, alterando a Cláusula 3.32.1 do Termo de Securitização original."
CRA022008YD,Aditamento de Termo de Securitização,,,3/1/2024,Ativo,Não Identificado,Neutro,0,"Aditamento: Atualização do valor mínimo dos imóveis dados em garantia da alienação fiduciária, com novos laudos de avaliação da Control Union e S&P Global em dezembro de 2023 e janeiro de 2024, mantendo as demais condições do termo original."
CRA022008YD,Aditamento de Termo de Securitização,,,2/20/2024,Ativo,Não Identificado,Neutro,0,"Aditamento: Exclusão de imóveis da garantia de alienação fiduciária originalmente vinculados ao Termo de Securitização, mantendo-se os demais imóveis como garantia da operação."
CRA022008YD,Aditamento de Termo de Securitização,,,9/26/2022,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
24E1765539,Aditamento de Termo de Securitização,,,12/17/2024,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
24L2827437,Aditamento de Termo de Securitização,,,12/26/2024,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração da data de vencimento dos CRIs para 20/12/2039, com prazo total de 5.471 dias. Substituição do Anexo II do Termo de Securitização pelo Anexo A, mantendo as demais condições inalteradas."
24D3418727,Aditamento de Termo de Securitização,,,12/26/2024,Ativo,Não Identificado,Neutro,0,"Inclui prêmio de 3,20% para investidores da 2ª série a cada nova integralização e altera definição de ""Estoque"" no cálculo da Razão Mínima de Garantia, considerando preço médio por m² das 10 últimas unidades vendidas."
24D3418727,Aditamento de Termo de Securitização,,,5/13/2024,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração da atualização monetária dos CRI para IPCA mensal, inclusão de cláusula sobre recursos excedentes da Cessão Fiduciária de Recebíveis para o Fundo de Obras e modificação da ordem de prioridade de pagamentos."
24J2484109,Aditamento de Termo de Securitização,,,12/27/2024,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração da data de emissão para 18/12/2024, prazo de vencimento para 20/01/2027, ajuste na remuneração do agente fiduciário e retificação do Anexo III do Termo de Securitização."
24L2827437,Aditamento de Termo de Securitização,,,12/27/2024,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração de datas de emissão e vencimento para 27/12/2024 e 20/12/2039, respectivamente. Inclusão de novo critério de elegibilidade para aquisição de créditos imobiliários adicionais e ajustes nas condições de substituição do Agente de Espelhamento."
CRA02300T62,Aditamento de Termo de Securitização,,,12/26/2024,Ativo,Não Identificado,Neutro,0,"Termo de Securitização: Canal Companhia de Securitização emite CRA com Pentágono como agente fiduciário, devedor Jumasa Agrícola, 2 séries no valor total de R$120 milhões."
CRA02300T61,Aditamento de Termo de Securitização,,,12/26/2024,Ativo,Não Identificado,Neutro,0,"Termo de Securitização: Canal Companhia de Securitização emite CRA com Pentágono como agente fiduciário, devedor Jumasa Agrícola, 2 séries no valor total de R$120 milhões."
24E1730283,Aditamento de Termo de Securitização,,,1/3/2025,Ativo,Não Identificado,Neutro,0,"Alteração de juros remuneratórios de 6,00% para 5,97% a.a. a partir de 06/01/2025, inclusão da 3ª Série com código ISIN BRPVSCCRI5Y7 e consolidação do termo de securitização."
23A1253566,Aditamento de Termo de Securitização,,,1/3/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Cessão de 50% dos direitos do imóvel e créditos imobiliários do V2 para Zagros, com ajuste no Termo de Securitização para refletir nova composição de fiduciantes e direitos sobre o imóvel."
23L1538459,Aditamento de Termo de Securitização,,,1/2/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Emissão da 2ª Série de CRI no valor de R$ 9.386.000,00, vinculada ao mesmo patrimônio separado da 1ª Série, sem subordinação, com lastro em créditos imobiliários adicionais do Contrato de Locação."
24G4060990,Aditamento de Termo de Securitização,,,12/20/2024,Ativo,Não Identificado,Neutro,0,"Aditamento: Segundo aditamento ao Termo de Securitização para criação da 3ª série de CRI, vinculando novos créditos imobiliários no valor de R$ 36,5 milhões, mantendo as mesmas garantias das séries anteriores."
CRA02400CTE,Aditamento de Termo de Securitização,,,1/6/2025,Ativo,Não Identificado,Neutro,0,Ocorreu um erro: ValidationException - An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: Input is too long for requested model.
CRA02400CT9,Aditamento de Termo de Securitização,,,1/6/2025,Ativo,Não Identificado,Neutro,0,Ocorreu um erro: ValidationException - An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: Input is too long for requested model.
CRA02400CT8,Aditamento de Termo de Securitização,,,1/6/2025,Ativo,Não Identificado,Neutro,0,Ocorreu um erro: ValidationException - An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: Input is too long for requested model.
CRA02400CT7,Aditamento de Termo de Securitização,,,1/6/2025,Ativo,Não Identificado,Neutro,0,Ocorreu um erro: ValidationException - An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: Input is too long for requested model.
CRA02400CT6,Aditamento de Termo de Securitização,,,1/6/2025,Ativo,Não Identificado,Neutro,0,Ocorreu um erro: ValidationException - An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: Input is too long for requested model.
CRA02400CTF,Aditamento de Termo de Securitização,,,1/6/2025,Ativo,Não Identificado,Neutro,0,Ocorreu um erro: ValidationException - An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: Input is too long for requested model.
CRA02400CTD,Aditamento de Termo de Securitização,,,1/6/2025,Ativo,Não Identificado,Neutro,0,Ocorreu um erro: ValidationException - An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: Input is too long for requested model.
CRA02400CTC,Aditamento de Termo de Securitização,,,1/6/2025,Ativo,Não Identificado,Neutro,0,Ocorreu um erro: ValidationException - An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: Input is too long for requested model.
CRA02400CTB,Aditamento de Termo de Securitização,,,1/6/2025,Ativo,Não Identificado,Neutro,0,Ocorreu um erro: ValidationException - An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: Input is too long for requested model.
CRA02400CTA,Aditamento de Termo de Securitização,,,1/6/2025,Ativo,Não Identificado,Neutro,0,Ocorreu um erro: ValidationException - An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: Input is too long for requested model.
24G1896218,Aditamento de Termo de Securitização,,,1/9/2025,Ativo,Não Identificado,Neutro,0,"Termo de Securitização: Companhia Província de Securitização emite CRI com Vórtx como agente fiduciário, lastro em créditos da Plantas São Paulo S/A, 1ª série da 62ª emissão, no valor total de R$ 72,2 milhões."
25A1532619,Aditamento de Termo de Securitização,,,1/8/2025,Ativo,Não Identificado,Neutro,0,"Aditamento altera valor total dos Créditos Imobiliários, ajusta definições de Escriturador e Agente de Liquidação, inclui novo agente e estabelece foro do Rio de Janeiro para questões contratuais."
25A2619772,Aditamento de Termo de Securitização,,,1/17/2025,Ativo,Carência de Pagamento de Juros/Amortização,Negativo,-1,"Aditamento: Primeiro aditamento ao Termo de Securitização ajusta periodicidade de pagamento e amortização dos CRI, implementa carência temporária de juros e atualiza anexos, mantendo estrutura de garantias e fluxo de pagamentos."
20F0849615,Aditamento de Termo de Securitização,,,1/15/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração do índice de atualização monetária de IGP-M para IPCA, resgate antecipado dos CRI Subordinados, exclusão de cláusula de envio trimestral de informações financeiras e concessão de prazo adicional de 120 dias para envio de documentos."
24L3235638,Aditamento de Termo de Securitização,,,1/15/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração das definições de ""Escriturador"" para Itaú Corretora de Valores S.A. e inclusão de ""Escriturador das Notas Comerciais"" como Vórtx Distribuidora de Títulos e Valores Mobiliários Ltda."
24K2327902,Aditamento de Termo de Securitização,,,1/14/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Ajuste da definição da Conta da Devedora para a conta corrente nº 13.002997-1, agência nº 1467, do Banco Santander, em razão de erro material identificado no Termo de Securitização."
24J4816258,Aditamento de Termo de Securitização,,,1/15/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Correção de erro material no Anexo II do Termo de Securitização, atualizando o Cronograma de Pagamentos dos CRI IPCA e CRI DI, mantendo as datas de pagamento e características originais."
CRA025000B5,Aditamento de Termo de Securitização,,,1/16/2025,Ativo,Não Identificado,Neutro,0,"Termo de Securitização: Opea Securitizadora emite CRA com Vórtx como agente fiduciário, lastro em direitos creditórios da NB Máquinas, com 2 séries no valor total de R$ 150 milhões, sendo sênior e subordinada."
24A1777868,Aditamento de Termo de Securitização,,,1/22/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Aditamento: Alteração do cronograma de pagamentos das 4 séries de CRI, com início de amortização em abril/2025, parcelas de 0,5% e liquidação final em janeiro/2028, mantendo demais condições inalteradas."
24A1777749,Aditamento de Termo de Securitização,,,1/22/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Aditamento: Alteração do cronograma de pagamentos das 4 séries de CRI, com início em jan/2025 e término em jan/2028, mantendo pagamento de juros e amortizações de 0,5% ao mês até liquidação final."
24A1777655,Aditamento de Termo de Securitização,,,1/22/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Aditamento: Alteração do cronograma de pagamentos das 4 séries de CRI, com início em jan/2025 e término em jan/2028, mantendo pagamentos mensais de juros e amortizações de 0,5% até o último pagamento de 100%."
24A1777605,Aditamento de Termo de Securitização,,,1/22/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Aditamento: Alteração do cronograma de pagamentos das 4 séries de CRI, com início de amortização em abril/2025, parcelas de 0,5% e liquidação final em janeiro/2028, mantendo demais condições inalteradas."
24E1296964,Aditamento de Termo de Securitização,,,1/21/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração do Termo de Securitização para ajustar cláusulas de integralização, liberação de alienação fiduciária, atualização monetária do IPCA e inclusão de despesas de comissões de originação no Patrimônio Separado."
23L1603403,Aditamento de Termo de Securitização,,,1/21/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Aditamento: Alteração do Cronograma de Pagamento dos CRI, com modificação das datas de pagamento de juros e amortização, mantendo as demais disposições do Termo de Securitização inalteradas."
23L1599076,Aditamento de Termo de Securitização,,,1/21/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Aditamento: Alteração do Cronograma de Pagamento dos CRI, com modificação das datas de pagamento de juros e amortização, mantendo as demais disposições do Termo de Securitização inalteradas."
25A2376156,Aditamento de Termo de Securitização,,,1/21/2025,Cancelado,Não Identificado,Neutro,0,Ocorreu um erro: ValidationException - An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: Input is too long for requested model.
24A2579147,Aditamento de Termo de Securitização,,,1/13/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Correção da numeração do aditamento de ""Segundo Aditamento"" para ""Terceiro Aditamento"" no Termo de Securitização de Créditos Imobiliários da Leverage Companhia Securitizadora, mantendo todas as demais disposições inalteradas."
24K1302245,Aditamento de Termo de Securitização,,,1/14/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração da Cláusula 4.2.2 para atualizar procedimentos de integralização dos CRI, permitindo subscrição à vista ou a prazo, com integralização pelo valor nominal unitário acrescido de remuneração pro rata temporis."
25A2376156,Aditamento de Termo de Securitização,,,1/20/2025,Ativo,Não Identificado,Neutro,0,Ocorreu um erro: ValidationException - An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: Input is too long for requested model.
24H2216619,Aditamento de Termo de Securitização,,,1/17/2025,Ativo,Prestação de Garantias Adicionais,Neutro,0,"Inclusão de período de carência para reforço de garantia nas cláusulas 8.9.2 e 8.9.3, sem alterações significativas nas demais disposições contratuais."
CRA023000GP,Relatórios,Relatório de Agência de Rating,,1/20/2025,Ativo,Manutenção de Rating de Agência de Risco,Neutro,0,Relatório de Agência de Rating: Moody's atribui rating AA+.br (sf) em 20/01/2025 para CRAs da Eco Securitizadora.
CRA020003PY,Relatórios,Relatório de Agência de Rating,,12/20/2024,Ativo,Manutenção de Rating de Agência de Risco,Neutro,0,Relatório de Agência de Rating: Moody's atribui rating AA+.br (sf) em 20/12/2024 para CRAs da Série Única da 81ª Emissão da Eco Securitizadora.
23A1610639,Aditamento de Termo de Securitização,,,1/13/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração da remuneração dos CRI de 10,0000% para 11,5730% ao ano a partir de 15 de janeiro de 2025, conforme revisão prevista na cláusula 6.2.1 do Termo de Securitização."
22E0120555,Aditamento de Termo de Securitização,,,1/16/2025,Ativo,Não Identificado,Neutro,0,Erro: Documento não disponível
21I0221466,Aditamento de Termo de Securitização,,,1/16/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração do devedor de Suno Logística para GGR Covepi Renda FII, com aprovação de dispensa de amortização extraordinária compulsória e due diligence jurídica na assembleia de investidores."
25A1904683,Aditamento de Termo de Securitização,,,1/31/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Primeiro aditamento ao Termo de Securitização ajusta definições, séries e volumes após Procedimento de Bookbuilding, definindo 4 séries de CRI totalizando R$400 milhões, com taxas entre 99% e 100% do CDI e 8,1125% para IPCA."
25A3721252,Aditamento de Termo de Securitização,,,1/30/2025,Ativo,Não Identificado,Neutro,0,Aditamento: Alteração de cláusulas para incluir Condição de Step Up com aumento da taxa de juros de 3% para 4% ao ano caso haja desvio ou atraso superior a 10% no cronograma de obras do empreendimento.
23B0004401,Relatórios,Relatório de Agência de Rating,,2/4/2025,Ativo,Manutenção de Rating de Agência de Risco,Neutro,0,"Baseado no documento fornecido, para o Relatório de Agência de Rating, o resumo seria:  24-fev-23, AAsf(bra) Persp. Estável pela Fitch Ratings para séries 2023-80-1 e 2023-80-2."
21K0001812,Relatórios,Relatório de Agência de Rating,,2/4/2025,Ativo,Manutenção de Rating de Agência de Risco,Neutro,0,"Para o documento fornecido, que parece ser um relatório de rating da Fitch Ratings, o resumo seria:  Relatório de Agência de Rating: Fitch Ratings em 24-out-24, rating AAAsf(bra) com perspectiva estável para emissão 2021-4-378 (Hapvida)."
CRA02400AYK,Relatórios,Relatório de Agência de Rating,,2/3/2025,Ativo,Manutenção de Rating de Agência de Risco,Neutro,0,Relatório de Agência de Rating: S&P atribui rating brAA (sf) em fevereiro de 2025 para CRA da Eco Securitizadora com lastro em debêntures da Bem Brasil.
CRA024009VN,Relatórios,Relatório de Agência de Rating,,2/3/2025,Ativo,Manutenção de Rating de Agência de Risco,Neutro,0,"Para o documento fornecido, que é um Relatório de Agência de Rating, o resumo seria:  S&P Global Ratings, 3 de fevereiro de 2025, rating brAAA (sf) para CRAs da Série Única da 361ª Emissão."
CRA0240099E,Relatórios,Relatório de Agência de Rating,,2/3/2025,Ativo,Manutenção de Rating de Agência de Risco,Neutro,0,Relatório de Agência de Rating: S&P atribui rating brAA (sf) para 1ª e 2ª séries da 354ª emissão de CRAs da EcoAgro em fevereiro de 2025.
CRA024006Y1,Relatórios,Relatório de Agência de Rating,,2/3/2025,Ativo,Manutenção de Rating de Agência de Risco,Neutro,0,"Relatório de Agência de Rating: S&P atribui rating brAAA (sf) para 1ª, 2ª e 3ª séries de CRAs da EcoAgro em fevereiro de 2025, com lastro em CPR-Fs da Adecoagro."
CRA024004MP,Relatórios,Relatório de Agência de Rating,,2/3/2025,Ativo,Manutenção de Rating de Agência de Risco,Neutro,0,Relatório de Agência de Rating: Rating brAA+ (sf) pela S&P Global Ratings em fevereiro de 2025 para CRAs da 325ª Emissão.
CRA02300SV3,Relatórios,Relatório de Agência de Rating,,2/3/2025,Ativo,Manutenção de Rating de Agência de Risco,Neutro,0,Relatório de Agência de Rating: Rating brA+ (sf) pela S&P Global Ratings em fevereiro de 2025 para CRAs da 299ª Emissão da Eco Securitizadora.
24B1465589,Aditamento de Termo de Securitização,,,1/24/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Aditamento: Alteração do cronograma de pagamentos das 1ª, 2ª, 3ª e 4ª séries, com início de amortização em abril de 2025 e pagamentos mensais de 0,5% até fevereiro de 2029, quando ocorre a amortização final de 100%."
24L2717582,Aditamento de Termo de Securitização,,,1/16/2025,Ativo,Não Identificado,Neutro,0,Aditamento: Alteração da data de início da atualização monetária dos CRI da Data de Emissão para Data de Integralização e definição de negociação no mercado secundário entre Investidores Profissionais até o encerramento da Oferta e entre Investidores Qualificados após.
24L0004003,Aditamento de Termo de Securitização,,,1/23/2025,Ativo,Não Identificado,Neutro,0,"Ajuste de definições e características da emissão, alterando valor das séries para R$46,482 mi (1ª), R$11,259 mi (2ª) e R$142,259 mi (3ª), sem subordinação."
24K1255993,Aditamento de Termo de Securitização,,,1/20/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Correção de erro material referente à remuneração do serviço de Medição de Obra no Anexo IX do Termo de Securitização, sem alterações significativas na estrutura de fluxo de pagamentos ou garantias."
CRA02300UEJ,Aditamento de Termo de Securitização,,,1/20/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Atualização do Anexo VI de Despesas, reduzindo a remuneração do escriturador das Letras Financeiras Sênior e Subordinadas, com ajustes nos valores de despesas flat e recorrentes da operação."
24A2073778,Aditamento de Termo de Securitização,,,11/17/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
22L1125977,Aditamento de Termo de Securitização,,,10/22/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração da definição de EBITDA na Cláusula 6.5.2, incluindo novos itens como ganho/perda na avaliação de investimento, depreciação, amortização e receita de locação não faturada, calculado com base em 12 meses."
25B2974559,Aditamento de Termo de Securitização,,,11/14/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Inclusão de novos créditos imobiliários vinculados à 33ª emissão de CRI, com 9 novas CCIs representando créditos de diferentes empreendimentos imobiliários da VitaUrbana, totalizando R$ 49.852.560,00."
25K2513233,Aditamento de Termo de Securitização,,,11/13/2025,Ativo,Prorrogação de vencimento,Negativo,-1,Altera fluxo de pagamento com nova data de vencimento e ajuste de indexador. Não houve modificação de garantias. Consolidação de termos sem necessidade de assembleia de titulares.
24J4816258,Aditamento de Termo de Securitização,,,11/11/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Aditamento: Inclusão de dois novos créditos imobiliários, alteração do cronograma de pagamento de notas comerciais e financiamento, e atualização da conta de liquidação utilizada pela securitizadora junto à B3."
22L1575688,Aditamento de Termo de Securitização,,,11/11/2025,Ativo,Não Identificado,Neutro,0,"Alteração da data de vencimento das Notas e CRIs, inclusão de pagamento mensal da Remuneração, cessão fiduciária de direitos creditórios e emissão de 3ª e 4ª séries com lastro em notas comerciais de Melo Alves e Sabino."
24J4816258,Aditamento de Termo de Securitização,,,11/11/2025,Inativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Vinculação de novos créditos imobiliários, alteração do cronograma de pagamento das Notas Comerciais Darós, Forward e Financiamento Edson, e atualização da conta de liquidação na B3."
22L1357824,Aditamento de Termo de Securitização,,,10/28/2025,Cancelado,Não Identificado,Neutro,0,"Desculpe, mas não há conteúdo no documento PDF fornecido para que eu possa gerar um resumo. O documento está vazio ou não foi carregado corretamente. Sem o texto original, não posso criar um resumo conforme as instruções."
22H1116780,Aditamento de Termo de Securitização,,,11/7/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
CRA025008SS,Aditamento de Termo de Securitização,,,11/13/2025,Ativo,Não Identificado,Neutro,0,Ocorreu um erro: DependencyError - PyCryptodome is required for AES algorithm
CRA02300U8Y,Aditamento de Termo de Securitização,,,10/28/2025,Ativo,Não Identificado,Neutro,0,"Alteração da data de vencimento para 26/02/2027, criação da 5ª série (CRA Subordinado Mezanino B), ajuste no critério de elegibilidade dos Direitos Creditórios e inclusão do Prêmio de Reembolso para CRA Subordinado Mezanino B."
CRA02100471,Aditamento de Termo de Securitização,,,11/13/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração da data de vencimento dos CRA para 22/09/2033, ajuste da vigência para 4.340 dias e modificação dos Anexos I e IX do Termo de Securitização, aprovados em assembleia de 12/09/2025."
CRA0210046X,Aditamento de Termo de Securitização,,,11/13/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração da data de vencimento dos CRA para 22/09/2033, ajuste da vigência para 4.340 dias e modificação dos Anexos I e IX do Termo de Securitização, aprovados em assembleia de 12/09/2025."
20A0797060,Aditamento de Termo de Securitização,,,10/3/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
24E1730283,Aditamento de Termo de Securitização,,,9/23/2025,Ativo,Não Identificado,Neutro,0,"Desculpe, mas não há conteúdo no documento fornecido para que eu possa gerar um resumo. O documento PDF parece estar vazio ou não foi corretamente carregado. Sem o texto original, não posso criar um resumo conforme as instruções."
21L0848411,Aditamento de Termo de Securitização,,,3/17/2026,Ativo,Prorrogação de vencimento,Negativo,-1,"Aditamento: Prorrogação da Data de Vencimento dos CRI para 20/09/2026, com prazo total de 2.074 dias, mantendo o cronograma de pagamento de juros e alterando a amortização para 100% no vencimento final."
24I2113183,Aditamento de Termo de Securitização,,,3/17/2026,Ativo,Prorrogação de vencimento,Negativo,-1,"Aditamento: Prorrogação da Data de Vencimento dos CRI para 20/09/2026, alterando o cronograma de pagamentos com manutenção de pagamentos de juros mensais e amortização integral na data final."
CRA02300O2P,Aditamento de Termo de Securitização,,,5/14/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração do indicador financeiro de dívida líquida/EBITDA para 4,00 e modificação do quórum de deliberação em Assembleia Geral para 51% dos CRA presentes, mantendo demais condições do termo original."
CRA02300IZD,Aditamento de Termo de Securitização,,,3/18/2026,Ativo,Não Identificado,Neutro,0,"Termo de Securitização: Canal Companhia de Securitização securitiza direitos creditórios da Vitivinícola Tropical, com Trustee DTVM como agente fiduciário. Emissão de 2 séries no valor total de R$26,5 milhões."
CRA023001ITT,Aditamento de Termo de Securitização,,,3/18/2026,Ativo,Não Identificado,Neutro,0,"Termo de Securitização: Canal Companhia de Securitização emite CRA com Trustee DTVM como agente fiduciário, lastro em CPR-F da Vitivinícola Tropical Ltda. Emissão de 2 séries no valor total de R$26,5 milhões."
CRA021004YP,Aditamento de Termo de Securitização,,,3/19/2026,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração da Cláusula 6.2 do Termo de Securitização para ajuste da remuneração dos CRA Sênior 01, 02, 03 e 04, considerando pagamento parcial da remuneração em 24/12/2025 e incorporação da diferença ao saldo devedor."
CRA0210046X,Aditamento de Termo de Securitização,,,3/19/2026,Ativo,Não Identificado,Neutro,0,"Aditamento: Exclusão da garantia de Alienação Fiduciária de Imóvel, mantendo apenas a Alienação Fiduciária de 50% das quotas da Muriti Agronegócio Ltda como garantia da emissão."
22C0508888,Aditamento de Termo de Securitização,,,1/16/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Atualização da Conta Centralizadora para conta corrente nº 6878-0, agência 3381-2 do Banco Bradesco, de titularidade da Opea Securitizadora S.A., em decorrência de sucessão legal por incorporação."
CRA0210041H,Aditamento de Termo de Securitização,,,3/24/2026,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração da data de vencimento dos CRA para 24/11/2031, encerramento das contas centralizadoras CRA Sênior 02, Subordinado Mezanino e Subordinado Júnior, e redução do Fundo de Despesas para R$40 mil."
24G1768866,Aditamento de Termo de Securitização,,,7/29/2024,Ativo,Não Identificado,Neutro,0,"Aditamento: Primeiro aditamento ao Termo de Securitização para alterar a Cláusula 5.5 ""Condições Precedentes"", incluindo requisitos como diligência jurídica, opinião legal e condições específicas para integralização dos CRI."
25F7021405,Aditamento de Termo de Securitização,,,3/26/2026,Ativo,Não Identificado,Neutro,0,"Aditamento: Inclusão da possibilidade de reabertura da 1ª série dos CRI em até 12 meses, limitada a R$ 6 milhões, mantendo os mesmos termos e condições da oferta original, sem prioridade para titulares atuais."
21F1147735,Aditamento de Termo de Securitização,,,3/30/2026,Ativo,Não Identificado,Neutro,0,"Aditamento: Inclusão da 76ª série de CRI, com lastro em parte dos créditos imobiliários excedentes, sem ordem de preferência ou subordinação em relação aos CRIs Originais da 65ª série."
